sample_id,accuracy,window_size
124,57.64802631578948,10.0
125,56.428986068111456,10.0
126,57.14009287925697,10.0
127,55.25348297213622,10.0
128,56.627321981424146,10.0
129,55.07449690402478,10.0
130,57.12074303405573,10.0
131,60.41989164086687,10.0
132,55.95007739938081,10.0
133,62.98374613003096,10.0
134,60.98587461300309,10.0
135,56.99013157894736,10.0
136,58.5187693498452,10.0
137,61.42608359133126,10.0
138,58.58165634674922,10.0
139,56.912732198142415,10.0
140,59.15731424148606,10.0
141,58.562306501547994,10.0
142,62.3935758513932,10.0
143,61.93401702786376,10.0
144,61.300309597523224,10.0
145,57.56095201238389,10.0
146,58.813854489164086,10.0
147,55.52438080495356,10.0
148,60.642414860681114,10.0
149,58.61068111455109,10.0
150,60.95684984520124,10.0
151,57.25619195046439,10.0
152,61.484133126934985,10.0
153,61.14551083591332,10.0
154,61.05843653250775,10.0
155,60.927825077399376,10.0
156,57.149767801857585,10.0
157,53.91350619195046,10.0
158,62.37906346749225,10.0
159,60.371517027863774,10.0
160,57.35777863777089,10.0
161,60.52147832817337,10.0
162,58.83320433436532,10.0
163,61.363196594427244,10.0
164,60.52147832817337,10.0
165,60.74883900928791,10.0
166,56.332236842105274,10.0
167,57.585139318885446,10.0
168,54.595588235294116,10.0
169,59.77167182662539,10.0
170,58.30592105263158,10.0
171,58.61551857585138,10.0
172,62.93537151702785,10.0
173,60.453753869969034,10.0
174,60.15866873065016,10.0
175,61.213235294117645,10.0
176,60.226393188854495,10.0
177,57.84636222910216,10.0
178,61.629256965944265,10.0
179,53.13951238390092,10.0
180,56.91756965944272,10.0
181,55.32604489164086,10.0
182,60.41021671826625,10.0
183,58.91060371517028,10.0
184,60.995549535603715,10.0
185,62.732198142414866,10.0
186,57.42550309597523,10.0
187,58.397832817337466,10.0
188,53.47813467492261,10.0
189,64.74941950464397,10.0
190,56.612809597523224,10.0
191,62.36938854489164,10.0
192,60.942337461300305,10.0
193,59.9796826625387,10.0
194,59.86842105263157,10.0
195,56.390286377708975,10.0
196,63.60294117647057,10.0
197,58.63970588235294,10.0
198,62.02592879256966,10.0
199,57.309404024767794,10.0
200,57.24167956656346,10.0
201,61.242260061919495,10.0
202,57.14493034055727,10.0
203,59.79102167182663,10.0
204,61.07778637770898,10.0
205,60.67627708978327,10.0
206,59.87809597523219,10.0
207,56.62248452012384,10.0
208,55.016447368421055,10.0
209,55.82914086687306,10.0
210,55.12770897832817,10.0
211,59.12828947368421,10.0
212,61.90982972136224,10.0
213,55.05514705882353,10.0
214,60.182856037151694,10.0
215,59.19117647058823,10.0
216,62.0984907120743,10.0
217,61.01006191950464,10.0
218,61.527670278637785,10.0
219,57.14493034055728,10.0
220,57.46420278637771,10.0
221,58.87190402476781,10.0
222,55.0890092879257,10.0
223,58.50909442724458,10.0
224,56.96110681114551,10.0
225,60.10061919504644,10.0
226,57.0046439628483,10.0
227,56.07585139318886,10.0
228,61.04392414860681,10.0
229,59.38467492260061,10.0
230,58.16563467492261,10.0
231,63.52070433436532,10.0
232,58.79450464396285,10.0
233,59.181501547987615,10.0
234,59.800696594427244,10.0
235,63.907701238390096,10.0
236,61.33417182662538,10.0
237,56.743421052631575,10.0
238,59.84423374613004,10.0
239,58.15595975232198,10.0
240,57.14009287925697,10.0
241,59.12828947368421,10.0
242,58.141447368421055,10.0
243,60.908475232198136,10.0
244,60.32314241486068,10.0
245,59.553986068111456,10.0
246,62.95472136222911,10.0
247,56.17743808049536,10.0
248,59.15731424148607,10.0
249,61.04392414860681,10.0
250,58.794504643962846,10.0
251,57.33842879256966,10.0
252,56.68053405572756,10.0
253,59.800696594427244,10.0
254,59.41853715170279,10.0
255,59.737809597523224,10.0
256,60.66660216718266,10.0
257,58.52844427244582,10.0
258,59.79585913312694,10.0
259,57.99148606811145,10.0
260,57.25135448916408,10.0
261,59.43304953560372,10.0
262,60.65208978328174,10.0
263,61.4889705882353,10.0
264,56.627321981424146,10.0
265,58.03502321981425,10.0
266,59.389512383900936,10.0
267,63.81578947368422,10.0
268,56.714396284829725,10.0
269,58.89125386996904,10.0
270,61.55185758513932,10.0
271,57.73026315789474,10.0
272,61.576044891640855,10.0
273,58.57198142414861,10.0
274,59.54914860681115,10.0
275,61.42608359133128,10.0
276,61.76470588235294,10.0
277,58.451044891640855,10.0
278,56.743421052631575,10.0
279,68.07759287925695,10.0
280,60.86010061919505,10.0
281,59.612035603715164,10.0
282,60.77302631578947,10.0
283,59.21052631578947,10.0
284,58.48006965944272,10.0
285,65.34442724458205,10.0
286,57.44001547987616,10.0
287,56.58378482972136,10.0
288,56.25,10.0
289,59.824883900928796,10.0
290,58.494582043343655,10.0
291,58.0640479876161,10.0
292,54.50367647058823,10.0
293,58.88641640866872,10.0
294,56.77244582043344,10.0
295,62.732198142414866,10.0
296,59.79102167182663,10.0
297,60.76818885448917,10.0
298,57.125580495356026,10.0
299,59.71362229102167,10.0
300,58.165634674922615,10.0
301,60.27960526315789,10.0
302,55.24864551083592,10.0
303,57.86087461300309,10.0
304,59.273413312693506,10.0
305,60.139318885448915,10.0
306,53.03308823529411,10.0
307,60.89396284829722,10.0
308,59.68943498452012,10.0
309,57.362616099071204,10.0
310,60.42956656346749,10.0
